full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college
Aaron Holiday,73,#3,Indiana Pacers,G,09/30/96,1.83,83.9,2239200.0,USA,2018,1,23,UCLA
Stanley Johnson,73,#5,Toronto Raptors,F,05/29/96,1.98,109.8,3623000.0,USA,2015,1,8,Arizona
Tyus Jones,73,#21,Memphis Grizzlies,G,05/10/96,1.83,83.9,10116000.0,USA,2015,1,24,Duke
Furkan Korkmaz,73,#30,Philadelphia 76ers,F,06/27/97,2.01,83.9,1620564.0,Turkey,2016,1,26,
Frank Ntilikina,73,#11,New York Knicks,G,07/28/98,1.93,86.2,4855800.0,France,2017,1,8,
Semi Ojeleye,73,#37,Boston Celtics,F,12/05/94,1.98,106.6,1618520.0,USA,2017,2,37,SMU
Josh Okogie,73,#20,Minnesota Timberwolves,G,09/01/98,1.93,96.6,2530680.0,Nigeria,2018,1,20,Georgia Tech
Tony Snell,73,#17,Detroit Pistons,F,11/10/91,1.98,89.8,11392857.0,USA,2013,1,20,New Mexico
Omari Spellman,73,#0,Minnesota Timberwolves,F,07/21/97,2.03,111.1,1897800.0,USA,2018,1,30,Villanova
Lonnie Walker,73,#1,San Antonio Spurs,G,12/14/98,1.96,92.5,2764200.0,USA,2018,1,18,Miami (Florida)
Tyler Herro,73,#14,Miami Heat,G,01/20/00,1.96,88.5,3640200.0,USA,2019,1,13,Kentucky
Sekou Doumbouya,73,#45,Detroit Pistons,F,12/23/00,2.03,94.8,3285120.0,France,2019,1,15,
Brandon Clarke,73,#15,Memphis Grizzlies,F,09/19/96,2.03,97.5,2478840.0,Canada,2019,1,21,Gonzaga
Nassir Little,73,#9,Portland Trail Blazers,F,02/11/00,1.96,99.8,2105520.0,USA,2019,1,25,North Carolina
Grayson Allen,72,#3,Memphis Grizzlies,G,10/08/95,1.93,93.0,2429400.0,USA,2018,1,21,Duke
Michael Carter-Williams,72,#7,Orlando Magic,G,10/10/91,1.96,83.5,2028594.0,USA,2013,1,11,Syracuse
Donte DiVincenzo,72,#0,Milwaukee Bucks,G,01/31/97,1.93,93.0,2905800.0,USA,2018,1,17,Villanova
Jared Dudley,72,#10,Los Angeles Lakers,F,07/10/85,1.98,102.1,2564753.0,USA,2007,1,22,Boston College
Chandler Hutchison,72,#15,Chicago Bulls,F,04/26/96,2.01,88.9,2332320.0,USA,2018,1,22,Boise State
Wesley Iwundu,72,#25,Orlando Magic,F,12/20/94,1.98,93.0,1618520.0,USA,2017,2,33,Kansas State
Brandon Knight,72,#0,Detroit Pistons,G,12/02/91,1.88,85.7,15643750.0,USA,2011,1,8,Kentucky
Patrick McCaw,72,#22,Toronto Raptors,G,10/25/95,2.01,82.1,4000000.0,USA,2016,2,38,UNLV
Darius Miller,72,#21,New Orleans Pelicans,F,03/21/90,1.98,102.1,7250000.0,USA,2012,2,46,Kentucky
Raul Neto,72,#19,Philadelphia 76ers,G,05/19/92,1.85,77.1,1737145.0,Brazil,2013,2,47,
Georges Niang,72,#31,Utah Jazz,F,06/17/93,2.01,104.3,1645357.0,USA,2016,2,50,Iowa State
Cameron Payne,72,#0,Phoenix Suns,G,08/08/94,1.88,81.6,346288.0,USA,2015,1,14,Murray State
Anfernee Simons,72,#1,Portland Trail Blazers,G,06/08/99,1.91,82.1,2149560.0,USA,2018,1,24,
DJ Wilson,72,#5,Milwaukee Bucks,F,02/19/96,2.08,106.1,2961120.0,USA,2017,1,17,Michigan
Romeo Langford,72,#45,Boston Celtics,G,10/25/99,1.93,98.0,3458400.0,USA,2019,1,14,Indiana
Grant Williams,72,#12,Boston Celtics,F,11/30/98,1.98,107.0,2379840.0,USA,2019,1,22,Tennessee
PJ Washington,72,#25,Charlotte Hornets,F,08/23/98,2.01,102.1,3831840.0,USA,2019,1,12,Kentucky
De'Anthony Melton,72,#0,Memphis Grizzlies,G,05/28/98,1.88,86.2,1416852.0,USA,2018,2,46,USC
Nickeil Alexander-Walker,72,#0,New Orleans Pelicans,G,09/02/98,1.96,93.0,2964840.0,Canada,2019,1,17,Virginia Tech
Cameron Johnson,72,#23,Phoenix Suns,F,03/03/96,2.03,95.3,4033440.0,USA,2019,1,11,North Carolina
Ty Jerome,72,#10,Phoenix Suns,G,07/08/97,1.96,88.5,2193480.0,USA,2019,1,24,Virginia
Luka Samanic,72,#19,San Antonio Spurs,F,01/09/00,2.08,94.8,2689920.0,Croatia,2019,1,19,
Keldon Johnson,72,#3,San Antonio Spurs,F,10/11/99,1.96,95.7,1950600.0,USA,2019,1,29,Kentucky
Jevon Carter,71,#4,Phoenix Suns,G,09/14/95,1.85,90.7,1416852.0,USA,2018,2,32,West Virginia
Jacob Evans,71,#0,Minnesota Timberwolves,G,06/18/97,1.93,95.3,1925880.0,USA,2018,1,28,Cincinnati
Terrance Ferguson,71,#23,Oklahoma City Thunder,G,05/17/98,1.98,83.5,2475840.0,USA,2017,1,21,
Daniel Gafford,71,#12,Chicago Bulls,F,10/01/98,2.08,106.1,898310.0,USA,2019,2,38,Arkansas
Frank Jackson,71,#15,New Orleans Pelicans,G,05/04/98,1.91,93.0,1618520.0,USA,2017,2,31,Duke
